LIS,Humberto Delgado Airport (Lisbon Portela Airport),PT
SJZ,São Jorge Airport,PT
VRL,Vila Real Airport,PT
VSE,Aerodromo Goncalves Lobato (Viseu Airport),PT
BNX,Banja Luka International Airport,BA
OMO,Mostar International Airport,BA
SJJ,Sarajevo International Airport,BA
TZL,Tuzla International Airport,BA
ARW,Arad International Airport,RO
BCM,Bacău Airport,RO
BAY,Maramureș International Airport,RO
BBU,Băneasa International Airport,RO
CND,Mihail Kogălniceanu International Airport,RO
CLJ,Cluj-Napoca International Airport,RO
CSB,Caransebeş Airport,RO
CRA,Craiova Airport,RO
IAS,Iaşi Airport,RO
OMR,Oradea International Airport,RO
OTP,Henri Coandă International Airport,RO
GHV,Brașov-Ghimbav International Airport (U.C.),RO
SBZ,Sibiu International Airport,RO
SUJ,Satu Mare Airport,RO
SCV,Suceava Stefan cel Mare Airport,RO
TCE,Tulcea Danube Delta Airport,RO
TGM,Transilvania Târgu Mureş International Airport,RO
TSR,Timişoara Traian Vuia Airport,RO
GVA,Geneva Cointrin International Airport,CH
SIR,Sion Airport,CH
EML,Emmen Air Base,CH
LUG,Lugano Airport,CH
BRN,Bern-Belp Airport,CH
ZRH,Zürich Airport,CH
ACH,St Gallen Altenrhein Airport,CH
SMV,Samedan Airport,CH
ISL,İstanbul Atatürk Airport,TR
TEQ,Tekirdağ Çorlu Airport,TR
IST,İstanbul Airport,TR
BZY,Bălți International Airport,MD
KIV,Chişinău International Airport,MD
OHD,Ohrid St. Paul the Apostle Airport,MK
SKP,Skopje International Airport,MK
GIB,Gibraltar Airport,GI
UZC,Ponikve Airport,RS
BEG,Belgrade Nikola Tesla Airport,RS
BJY,Batajnica Air Base,RS
KVO,Morava Airport,RS
INI,Nis Airport,RS
TGD,Podgorica Airport / Podgorica Golubovci Airbase,ME
TIV,Tivat Airport,ME
BTS,M. R. Štefánik Airport,SK
KSC,Košice Airport,SK
PZY,Piešťany Airport,SK
SLD,Sliač Airport,SK
TAT,Poprad-Tatry Airport,SK
ILZ,Žilina Airport,SK
GUW,Atyrau International Airport,KZ
BQT,Brest Airport,BY
GME,Gomel Airport,BY
VTB,Vitebsk Vostochny Airport,BY
GNA,Hrodna Airport,BY
MSQ,Minsk National Airport,BY
MVQ,Mogilev Airport,BY
